k ,1dse     ,2dse     ,compressing information,compressing ratio
1 ,17.017522,5.939766 ,11.077756              ,0.650962
2 ,17.043302,7.54095  ,9.502352               ,0.557542
3 ,17.038591,8.845018 ,8.193573               ,0.480883
4 ,17.033642,9.657149 ,7.376493               ,0.433054
5 ,17.028261,10.246986,6.781275               ,0.398237
6 ,17.023534,10.611551,6.411983               ,0.376654
7 ,17.019205,10.940106,6.079099               ,0.357191
8 ,17.015465,11.226431,5.789034               ,0.340222
9 ,17.012257,11.473792,5.538464               ,0.325557
10,17.009505,11.585034,5.424471               ,0.318908
11,17.007131,11.793048,5.214083               ,0.306582
12,17.00513 ,11.980154,5.024976               ,0.295498
13,17.003281,12.051661,4.95162                ,0.291216
14,17.001706,12.157562,4.844144               ,0.284921
15,17.000318,12.301281,4.699037               ,0.276409
16,16.999006,12.323822,4.675184               ,0.275027
17,16.997895,12.440179,4.557716               ,0.268134
18,16.996992,12.494007,4.502985               ,0.264928
19,16.996265,12.570633,4.425632               ,0.260388
20,16.995639,12.626936,4.368704               ,0.257049
21,16.995135,12.707226,4.287909               ,0.252302
22,16.994822,12.80478 ,4.190043               ,0.246548
23,16.994602,12.924007,4.070595               ,0.239523
24,16.994511,12.966416,4.028095               ,0.237023
25,16.994488,13.097463,3.897026               ,0.229311
26,16.994551,13.131882,3.862669               ,0.227288676
27,16.994755,13.141621,3.853134               ,0.226724892
28,16.99504 ,13.222789,3.772251               ,0.221961878
29,16.995356,13.254449,3.740906               ,0.220113424
30,16.995695,13.316544,3.679151               ,0.216475466
